# Official Stellarium sky-name aliases. Generated; do not edit.
# alias<TAB>englishName<TAB>language
253號小行星（Mathilde）	Mathilde	zh_TW
2675 Τόλκιν	Tolkien	el
2758 Κορδηλία	Cordelia	el
2758號小行星（Cordelia）	Cordelia	zh_TW
279 Θούλη	Thule	el
2867 Στέινς	Steins	el
2867號小行星（Steins）	Steins	zh_TW
288 Γλαύκη	Glauke	el
29 Αμφιτρίτη	Amphitrite	el
2938 Χόπι	Hopi	el
3 i Ugnen	Fornax 3	sv
3 Ήρα	Juno	el
3-е карликовое скопление Печи	Fornax Dwarf Cluster 3	ru
30 Aukso žuvies spiečius	30 Doradus Cluster	lt
30 Cúmul 30 Dor	30 Dor Cluster	ca
30 Cúmulo Doradus	30 Doradus Cluster	gl
30 Dor cluster	30 Dor Cluster	nl
30 Dor Haufen	30 Dor Cluster	de
30 Dor Maglica	30 Dor Nebula	hr
30 Dor nevel	30 Dor Nebula	nl
30 Dor skup	30 Dor Cluster	hr
30 Dor spiečius	30 Dor Cluster	lt
30 Dor-hopen	30 Dor Cluster	sv
30 Dor-Nebel	30 Dor Nebula	de
30 Dor-nebulosan	30 Dor Nebula	sv
30 Doradus -joukko	30 Dor Cluster	fi
30 Doradus -sumu	30 Dor Nebula	fi
30 Doradus B	30 Dor B	fi
30 Doradus-Haufen	30 Doradus Cluster	de
30 Doradus-hopen	30 Doradus Cluster	sv
30 Kultakalan sumu	30 Doradus Cluster	fi
30 Nebulosa 30 Dor	30 Dor Nebula	ca
30 Залатой рыбы B	30 Dor B	be
30 Золотой Рыбы B	30 Dor B	ru
30 حشد سمكة أبو سيف	30 Doradus Cluster	ar
৩০ ডোরাডো তারকাগুচ্ছ	30 Dor Cluster	bn
৩০ ডোরাডো নীহারিকা	30 Dor Nebula	bn
৩০ ডোরাডো বি	30 Dor B	bn
30 డోర్ నెబ్యులా	30 Dor Nebula	te
30 డోర్ బి	30 Dor B	te
30 డోర్ సమూహం	30 Dor Cluster	te
31 Ευφροσύνη	Euphrosyne	el
31 Рис	Alsciaukat	sr
3103 Έγκερ	Eger	el
3200 Φαέθων	Phaethon	el
3200號小行星（Phaethon）	Phaethon	zh_TW
323 Μπρούσια	Brucia	el
324 Βαμβέργη	Bamberga	el
324號小行星（Bamberga）	Bamberga	zh_TW
3361 Ορφεύς	Orpheus	el
3362 Χέωψ	Khufu	el
348 Маркарыяна	Markarian 348	be
3554 Άμων	Amun	el
3671 Διόνυσος	Dionysus	el
367943號小行星（Duende）	Duende	zh_TW
37 skup	The 37 Cluster	bs
37 spiečius	The 37 Cluster	lt
৩৭ তারকাগুচ্ছ	The 37 Cluster	bn
37 성단	The 37 Cluster	ko
37-hopen	The 37 Cluster	nb
37-hopen	The 37 Cluster	sv
37-joukko	The 37 Cluster	fi
37-þyrpingin	The 37 Cluster	is
375 Ούρσουλα	Ursula	el
3752 Καμίλλο	Camillo	el
3753號小行星（Cruithne）	Cruithne	zh_TW
375號小行星（Ursula）	Ursula	zh_TW
37er-Haufen	The 37 Cluster	de
37星团	The 37 Cluster	zh_CN
37星団	The 37 Cluster	ja
37星團	The 37 Cluster	zh_HK
37狀星團	The 37 Cluster	zh_TW
3838 Επόνα	Epona	el
38628 Χουγιά	Huya	el
4 Εστία	Vesta	el
4-H spiečius	4-H cluster	lt
4-H సమూహం	4-H cluster	te
4-H 성단	4-H cluster	ko
4-H 星团	4-H cluster	zh_CN
4-H 星團	4-H cluster	zh_HK
4-H 星團	4-H cluster	zh_TW
4-H-Haufen	4-H cluster	de
4-H-hopen	4-H cluster	sv
4-H-joukko	4-H cluster	fi
4-H星団	4-H cluster	ja
4015 Γουίλσον-Χάρινγκτον	Wilson-Harrington	el
4034 Βισνού	Vishnu	el
41 Δάφνη	Daphne	el
4179 Τοουτάτης	Toutatis	el
4183 Κούνο	Cuno	el
4197 Μορφέας	Morpheus	el
421 Маркарыяна	Markarian 421	be
423 Διοτίμα	Diotima	el
423號小行星（Diotima）	Diotima	zh_TW
4257 Ουμπάστι	Ubasti	el
433 Έρως	Eros	el
4341 Ποσειδών	Poseidon	el
4450 Παν	Pan	el
4450號小行星（Pan）	Pan	zh_TW
4486 Μίθρας	Mithra	el
45 Ευγενία	Eugenia	el
451 Υπομονή	Patientia	el
4544 Ξάνθος	Xanthus	el
4581 Ασκληπιός	Asclepius	el
4660 Νηρεύς	Nereus	el
47 Toekans	47 Tucanae	nl
47 Tuc miglājs	47 Tuc	lv
47 Tucanae	47 Tuc	is
47 Tucanae	47 Tuc	vi
47 Tuk	47 Tuc	az
47 Tukaanin	47 Tucanae	fi
47 Tukano	47 Tucanae	lt
47 Τουκάνας	47 Tuc	el
47 от Тукан	47 Tuc	bg
47 Тукана	47 Tuc	be
47 Тукана	47 Tuc	ru
47 Тукана	47 Tuc	sr
47 Тукана	47 Tuc	uk
47 Тукана	47 Tucanae	ru
47 Тукана	47 Tucanae	uk
‎‎47 الطوقان‎‎	47 Tuc	ar
47 الطوقان	47 Tucanae	ar
47 تی یو سی	47 Tuc	fa
৪৭ টাউকান	47 Tuc	bn
47 டியூசி	47 Tuc	ta
47 టుక్	47 Tuc	te
47 นกทูแคน	47 Tuc	th
48 Δωρίς	Doris	el
490 Βέριτας	Veritas	el
5 Αστραία	Astraea	el
50000 Κουάοαρ	Quaoar	el
5011 Πτα	Ptah	el
511 Νταβίντα	Davida	el
511號小行星（Davida）	Davida	zh_TW
5143 Ηρακλής	Heracles	el
52 Ευρώπη	Europa	el
5261 Γιουρίκα	Eureka	el
5261號小行星（Eureka）	Eureka	zh_TW
532 Ηράκλεια	Herculina	el
55 Πανδώρα	Pandora	el
588 Αχιλλεύς	Achilles	el
593 Τιτανία	Titania	el
593號小行星（Titania）	Titania	zh_TW
6 Ήβη	Hebe	el
624 Έκτωρ	Hektor	el
624號小行星（Hektor）	Hektor	zh_TW
646 Κασταλία	Castalia	el
65 Κυβέλη	Cybele	el
666 Δυσδαιμόνα	Desdemona	el
666號小行星（Desdemona）	Desdemona	zh_TW
7 Ίρις	Iris	el
704 Ιντεράμνια	Interamnia	el
704號小行星（Interamnia）	Interamnia	zh_TW
719 Αλβέρτος	Albert	el
74 Γαλάτεια	Galatea	el
75 Toekans	75 Tucanae	nl
75 Tukaanin	75 Tucanae	fi
75 Tukano	75 Tucanae	lt
75 Тукана	75 Tucanae	ru
75 Тукана	75 Tucanae	uk
75 الطوقان	75 Tucanae	ar
7월 소금과 후추 성단	July Salt-and-Pepper Cluster	ko
8 Χλωρίς	Flora	el
846 Λιππέρτα	Lipperta	el
87 Σύλβια	Sylvia	el
88 Θίσβη	Thisbe	el
8중 폭발 행성상 성운	Eight-Burst Planetary Nebula	ko
8字爆發行星狀星雲	Eight-Burst Planetary Nebula	zh_TW
9 Μήτις	Metis	el
9-12 Geminorum spiečius	9-12 Geminorum Cluster	lt
9-12 Geminorum-Haufen	9-12 Geminorum Cluster	de
9-12 Kaksosten ryhmä	9-12 Geminorum Cluster	fi
9-12 Tweelingen Cluster	9-12 Geminorum Cluster	nl
9-12-Geminorumhopen	9-12 Geminorum Cluster	sv
90 Αντιόπη	Antiope	el
90377 Σέντνα	Sedna	el
90377號小行星（Sedna）	Sedna	zh_TW
90482 Όρκος	Orcus	el
912 Μαριτίμα	Maritima	el
92 Ούντινα	Undina	el
94 Αυγή	Aurora	el
944 Ιδαλγός	Hidalgo	el
951 Γκάσπρα	Gaspra	el
951號小行星（Gaspra）	Gaspra	zh_TW
A 37 Klaszter	The 37 Cluster	hu
A Ave	The Bird	pt_BR
A Bolboreta do Sur	The Southern Butterfly	gl
A Borboleta do Sul	The Southern Butterfly	pt_BR
A Cadeira do Dentista	The Dentist's Chair	pt_BR
A Caixa	The Box	gl
A Caixa	The Box	pt_BR
A Câmara dos Horrores	The Chamber of Horrors	pt_BR
A Cauda do Escorpião	The Scorpion's Tail	pt_BR
A Cauda Longa	The Longtail	pt_BR
A Cola do Escorpión	The Scorpion's Tail	gl
A coroa de Haley	Haley's Coronet	gl
Á de anxo	Angel Wing	gl
A Dobre Nebulosa Escura	The Double Dark Nebula	gl
A Estrela da Rosa de Verão	The Summer Rose Star	pt_BR
A Estrela de Mar	The Starfish	gl
A Estrela-do-Mar	The Starfish	pt_BR
A Galáxia da Caixa	The Box Galaxy	pt_BR
A Galáxia da Garça	The Heron Galaxy	pt_BR
A Galáxia da Guirlanda	The Garland Galaxy	pt_BR
A Galáxia da Lasca de Prata	The Silver Sliver Galaxy	pt_BR
A Galáxia da Pinça	The Tweezers Galaxy	pt_BR
A Galaxia da Pinza	The Tweezers Galaxy	gl
A Galáxia da Toninha	The Porpoise Galaxy	pt_BR
A Galáxia do Frisbee Fantasma	The Phantom Frisbee Galaxy	pt_BR
A Galáxia do Gafanhoto	The Grasshopper Galaxy	pt_BR
A Galáxia do Hambúrguer	The Hamburger Galaxy	pt_BR
A Galaxia do Mini Sombreiro	The Mini Sombrero Galaxy	gl
A Galaxia do Ovo	The Egg Galaxy	gl
A Galáxia do Ovo	The Egg Galaxy	pt_BR
A Galáxia do Pinguim	The Penguin Galaxy	pt_BR
A Galaxia do Pingüín	The Penguin Galaxy	gl
A Galaxia do Retallo de Prata	The Silver Sliver Galaxy	gl
A Galáxia Mini Sombrero	The Mini Sombrero Galaxy	pt_BR
A Galaxia Perdida de Copeland	The Lost Galaxy of Copeland	gl
A Galáxia Perdida de Copeland	The Lost Galaxy of Copeland	pt_BR
A gitár	The Guitar	hu
A Gran Espiral	The Great Spiral	gl
A Gran Nebulosa de Quilla	The Great Nebula in Carina	gl
A Grande Espiral	The Great Spiral	pt_BR
A Grande Fenda	The Great Rift	pt_BR
A Grande Nebulosa em Carina	The Great Nebula in Carina	pt_BR
A Guitarra	The Guitar	gl
A Guitarra	The Guitar	pt_BR
A Joia Perdida de Órion	The Lost Jewel of Orion	pt_BR
A Kentavr	Centaurus A	az
A Nebulosa da Marca de Sapato	The Shoeprint Nebula	pt_BR
A Nebulosa da Mosca	The Fly Nebula	gl
A Nebulosa da Mosca	The Fly Nebula	pt_BR
A Nebulosa de Gabriela Mistral	The Gabriela Mistral Nebula	gl
A Nebulosa do Fantasma da Ópera	The Phantom Of The Opera Nebula	gl
A Nebulosa do Feiticeiro	The Wizard Nebula	pt
A Nebulosa do Feiticeiro	The Wizard Nebula	pt_BR
A Nebulosa Escura Dupla	The Double Dark Nebula	pt_BR
A Nebulosa Gabriela Mistral	The Gabriela Mistral Nebula	pt_BR
A Pantasma de Alnitak	The Ghost of Alnitak	gl
A Persey	Perseus A	az
A Ra do Sur	Southern Beehive	gl
A Reflexión da Raíña	The Queen's Reflection	gl
A szemek	The Eyes	hu
A Uccello Volante	A Flying Bird	it
A Última Xoia de Orión	The Lost Jewel of Orion	gl
A-صلیب شمالی (منبع امواج رادیویی صلیب شمالی)	Cygnus A	fa
A’ chuachag	Miniature Spiral	gd
A’ Ghealach	Moon	gd
A’ Ghrian	Sun	gd
A’ ghrioglachan dùbailte	Double Cluster	gd
A’ ghrioglachan snìomhach	Spiral Cluster	gd
A’ phìob (cas)	Pipe (stem)	gd
A’ phìob (sòrn)	Pipe (bowl)	gd
Aal	Eel	de
Aarde	Earth	af
Aarde	Earth	nl
Aarde waarnemer	Earth Observer	nl
Aatomid rahu eest galaktika	Atoms for Peace Galaxy	et
Aave pallomainen ryhmä	Ghost Globular Cluster	fi
Aaveenpääsumu	Ghost Head Nebula	fi
Aavejuovasumu	Phantom Streak Nebula	fi
Aaveklusteri	Ghost Cluster	fi
Aavepuskan ryhmä	Ghost Bush Cluster	fi
Aavesumu	Ghost Nebula	fi
Aavetiara	Phantom Tiara	fi
Achernaras	Achernar	lt
Achilas	Achilles	lt
Achille	Achilles	fr
Achille	Achilles	sc
Acht-uitbarstingen planetaire nevel	Eight-Burst Planetary Nebula	nl
Achtersteven	Puppis	nl
Achterwaarts Sterrenstelsel	Backward Galaxy	nl
Acuario	Aquarii	es
Acuario	Aquarii	es_419
Acvila	Aquilae	ro
Adafera	Adhafera	az
Adafera	Adhafera	lt
Adara	Adhara	az
Adara	Adhara	hu
Adara	Adhara	lt
Adatos akutės galaktika	Needle's Eye Galaxy	lt
Adatos galaktika	Needle Galaxy	lt
Adatų pagalvėlės debesis	Pincushion Cloud	lt
Adatų pagalvėlės spiečius	Pincushion Cluster	lt
Adatų pagalvėlės spiečius	The Pin Cushion Cluster	lt
Adelaarnevel	Eagle Nebula	nl
Adelaarsnest	Eagle's nest	nl
Ädelstenshopen	Gem Cluster	sv
Adhils	Adhil	lv
Adler-Nebel	Eagle Nebula	de
Adlerbaby-Nebel	Baby Eagle Nebula	de
Adlernest	Eagle's nest	de
Adlerniwwel	Eagle Nebula	lb
Adrastée	Adrastea	fr
Adrasteia	Adrastea	pt
Adrasteia	Adrastea	pt_BR
Adrastėja	Adrastea	lt
Adraszteia	Adrastea	hu
Aedoa galaktika	Kidney Bean Galaxy	et
Aegir	AEgir	fi
Ægir	AEgir	fr
Äerd<br>	Earth	lb
Afërdita	Venus	sq
Affenkopf-Nebel	Monkey Head Nebula	de
AFGL 333 Debesis	AFGL 333 Cloud	lt
AFGL 333 felhő	AFGL 333 Cloud	hu
AFGL 333 pilvi	AFGL 333 Cloud	fi
AFGL 333 wolk	AFGL 333 Cloud	nl
AFGL 333 Wolke	AFGL 333 Cloud	de
AFGL ৩৩৩ মেঘ	AFGL 333 Cloud	bn
AFGL 333 క్లౌడ్	AFGL 333 Cloud	te
AFGL 333 성운	AFGL 333 Cloud	ko
AFGL 333 雲	AFGL 333 Cloud	zh_TW
AFGL 333-nebulosan	AFGL 333 Cloud	sv
AFGL 333星云	AFGL 333 Cloud	zh_CN
AFGL 333星雲	AFGL 333 Cloud	zh_HK
AFGL333の雲	AFGL 333 Cloud	ja
Ağcık	Reticuli	tr
Agena (Hadar)	Hadar	pl
Äggalaxen	The Egg Galaxy	sv
Äggnebulosan	Egg Nebula	sv
Ağız	Achernar	tr
Aglomerado 20 Vulpeculae	20 Vulpeculae Cluster	pt_BR
Aglomerado 3 da Galáxia Anã de Fornax	Fornax Dwarf Cluster 3	pt_BR
Aglomerado 30 Dor	30 Dor Cluster	pt_BR
Aglomerado 30 Doradus	30 Doradus Cluster	pt_BR
Aglomerado 37	The 37 Cluster	pt
Aglomerado 4-H	4-H cluster	pt_BR
Aglomerado 9-12 Geminorum	9-12 Geminorum Cluster	pt_BR
Aglomerado Alfa Perseus	α Per Cluster	pt
Aglomerado Alfa Perseus	α Per Cluster	pt_BR
Aglomerado Bruce Lee	Bruce Lee Cluster	pt_BR
Aglomerado Caixa de Joias	Jewel Box Cluster	pt_BR
Aglomerado Chuta-Lata	Kick the Can Cluster	pt_BR
Aglomerado Coma Berenices	Coma Berenices Cluster	pt
Aglomerado Coma Berenices	Coma Berenices Cluster	pt_BR
Aglomerado da Água-Viva	Jellyfish Cluster	pt_BR
Aglomerado da Ampulheta	Hourglass Cluster	pt_BR
Aglomerado da Arraia	Stingray Cluster	pt_BR
Aglomerado da Asa de Mariposa	Moth Wing Cluster	pt_BR
Aglomerado da Baleia	Cetus Cluster	pt_BR
Aglomerado da Bobina	Coil Cluster	pt_BR
Aglomerado da Borboleta Difusa	Fuzzy Butterfly Cluster	pt_BR
Aglomerado da Borboleta-Cauda-de-Andorinha-Negra	Black Swallowtail Butterfly Cluster	pt_BR
Aglomerado da Cabrinha	Sea Robin Cluster	pt_BR
Aglomerado da Caixa de Joias do Norte	Northern Jewel Box Cluster	pt_BR
Aglomerado da Caveira Gritante	Screaming Skull Cluster	pt_BR
Aglomerado da Cintura de Vespa	Wasp-Waist Cluster	pt_BR
Aglomerado da Colmeia	Beehive Cluster	pt_BR
Aglomerado da Colmeia de Verão	Summer Beehive Cluster	pt_BR
Aglomerado da Coroa	Corona Cluster	pt_BR
Aglomerado da Coroa Boreal	Corona Borealis Cluster	pt_BR
Aglomerado da Coruja	Owl Cluster	pt_BR
Aglomerado da Crinolina	Hoopskirt Cluster	pt_BR
Aglomerado da Cruz de São Pedro	St. Peter's Cross Cluster	pt_BR
Aglomerado da Cunha Dupla	Double Wedge Cluster	pt_BR
Aglomerado da Estrela-do-Mar	Starfish Cluster	pt_BR
Aglomerado da Ferradura	Horseshoe Cluster	pt_BR
Aglomerado da Festa dos Vaga-lumes	Firefly Party Cluster	pt_BR
Aglomerado da Fivela de Sapato	Shoe-Buckle Cluster	pt_BR
Aglomerado da Flecha Audaciosa	Bold Arrow Cluster	pt_BR
Aglomerado da Flecha Negra	Black Arrow Cluster	pt_BR
Aglomerado da Fornalha	Fornax Cluster	pt_BR
Aglomerado da Fragata (Ave Pirata)	Frigate (Pirate) Bird Cluster	pt_BR
Aglomerado da Guitarra Elétrica	Electric Guitar Cluster	pt_BR
Aglomerado da Harpa	Harp Cluster	pt_BR
Aglomerado da Harpa de Ouro	Golden Harp Cluster	pt_BR
Aglomerado da Hidra	Hydra Cluster	pt_BR
Aglomerado da Letra Pi	Letter Pi Cluster	pt_BR
Aglomerado da Letra S	Letter S Cluster	pt_BR
Aglomerado da Letra Y	Letter Y Cluster	pt_BR
Aglomerado da Libélula	Dragonfly Cluster	pt_BR
Aglomerado da Lua Pirata	Pirate Moon Cluster	pt_BR
Aglomerado da Mão	Hand Cluster	pt_BR
Aglomerado da Máquina Pneumática	Antlia Cluster	pt_BR
Aglomerado da Mariposa-esponjosa	Gypsy Moth Cluster	pt_BR
Aglomerado da Mesa de Escorpião	Table of Scorpius Cluster	pt_BR
Aglomerado da Naja-Real	King Cobra Cluster	pt_BR
Aglomerado da Névoa Estelar	Star Mist Cluster	pt_BR
Aglomerado da Pepita de Prata	Silver Nugget Cluster	pt_BR
Aglomerado da Pérola	Pearl Cluster	pt_BR
Aglomerado da Pipa	Kite Cluster	pt_BR
Aglomerado da Ponta de Flecha	Arrowhead Cluster	pt_BR
Aglomerado da Rosa	Rose Cluster	pt_BR
Aglomerado da Rosa de Caroline	Caroline's Rose Cluster	pt
Aglomerado da Rosa de Caroline	Caroline's Rose Cluster	pt_BR
Aglomerado da Teia da Viúva	The Widow's Web Cluster	pt_BR
Aglomerado da Teia de Aranha	Cobweb Cluster	pt_BR
Aglomerado da Torre de Resfriamento	Cooling Tower Cluster	pt_BR
Aglomerado da Ursa Maior	Ursa Major Cluster	pt
Aglomerado da Ursa Maior	Ursa Major Cluster	pt_BR
Aglomerado da Xícara de Chá	Teacup Cluster	pt_BR
Aglomerado das Joias	Gem Cluster	pt_BR
Aglomerado das Joias do Pirata	Pirate's Jewels Cluster	pt_BR
Aglomerado das Retardatárias Azuis	Blue Straggler Cluster	pt_BR
Aglomerado de Al Sufi	Al Sufi's Cluster	pt_BR
Aglomerado de Antares	Antares Cluster	pt
Aglomerado de Antares	Antares Cluster	pt_BR
Aglomerado de Brocchi	Brocchi's Cluster	pt_BR
Aglomerado de Cacciatore	Cacciatore Cluster	pt_BR
Aglomerado de Câncer	Cancer Cluster	pt_BR
Aglomerado de Caroline	Caroline's Cluster	pt_BR
Aglomerado de Centauro	Centaurus Cluster	pt_BR
Aglomerado de Coma	Coma Cluster	pt_BR
Aglomerado de Doradus	Doradus Cluster	pt_BR
Aglomerado de Galáxias	Galaxy Cluster	pt_BR
Aglomerado de Galáxias da Fornalha	Fornax Galaxy Cluster	pt_BR
Aglomerado de Galáxias de Hércules	Hercules Galaxy Cluster	pt_BR
Aglomerado de Galáxias do Pavão	Pavo Galaxy Cluster	pt_BR
Aglomerado de Gêmeos	Gemini Cluster	pt_BR
Aglomerado de Graff	Graff's Cluster	pt_BR
Aglomerado de Hércules	Hercules Cluster	pt_BR
Aglomerado de Jolly Roger	Jolly Roger Cluster	pt_BR
Aglomerado de Leão	Leo Cluster	pt_BR
Aglomerado de Malus	Malus Cluster	pt_BR
Aglomerado de Órion	Orion Cluster	pt
Aglomerado de Órion	Orion Cluster	pt_BR
Aglomerado de Pandora	Pandora’s Cluster	pt_BR
Aglomerado de Pazmino	Pazmino's Cluster	pt_BR
Aglomerado de Pégaso	Pegasus Cluster	pt_BR
Aglomerado de Perseu	Perseus Cluster	pt_BR
Aglomerado de Tweedledum	Tweedledum Cluster	pt_BR
Aglomerado de Wilk	Wilk's Cluster	pt_BR
Aglomerado do Alfineteiro	Pincushion Cluster	pt_BR
Aglomerado do Altar	Ara Cluster	pt_BR
Aglomerado do Arbusto Fantasma	Ghost Bush Cluster	pt_BR
Aglomerado do Arganaz	The Dormouse Cluster	pt_BR
Aglomerado do Baú do Homem Morto	Dead Man's Chest Cluster	pt_BR
Aglomerado do Boieiro	Bootes Cluster	pt_BR
Aglomerado do Brinco de Ouro	Golden Earring Cluster	pt_BR
Aglomerado do Buraco de Cupim	Termite Hole Cluster	pt_BR
Aglomerado do Caça Estelar	Starfighter Cluster	pt_BR
Aglomerado do Caçador de Cabeças	Head Hunter Cluster	pt_BR
Aglomerado do Capitão Gancho	Captain Hook Cluster	pt_BR
Aglomerado do Caranguejo	Crab Cluster	pt_BR
Aglomerado do Carrinho de Compras	Shopping Cart Cluster	pt_BR
Aglomerado do Casulo	Cocoon Cluster	pt_BR
Aglomerado do Catavento	Pinwheel Cluster	pt_BR
Aglomerado do Cinturão de Órion	Orion Belt Cluster	pt
Aglomerado do Cinturão de Órion	Orion Belt Cluster	pt_BR
Aglomerado do Cisne Negro	Black Swan Cluster	pt_BR
Aglomerado do Colar de Pérolas	Strings of Pearl Cluster	pt_BR
Aglomerado do Cometa Cintilante	Twinkling Comet Cluster	pt_BR
Aglomerado do Coração	Heart-Shaped Cluster	pt_BR
Aglomerado do Coração e Adaga	Heart and Dagger Cluster	pt_BR
Aglomerado do Coração Ferido	Wounded Heart Cluster	pt_BR
Aglomerado do Coração Partido	Broken Heart Cluster	pt_BR
Aglomerado do Cortador de Grama	Lawnmower Cluster	pt_BR
Aglomerado do Crocodilo	Crocodile Cluster	pt_BR
Aglomerado do Cuspe de Aranha	Spider Spit Cluster	pt_BR
Aglomerado do Diamante	Diamond Cluster	pt_BR
Aglomerado do Dragão de Hagrid	Hagrid's Dragon Cluster	pt_BR
Aglomerado do Escorpião Ferroando	Stinging Scorpion Cluster	pt_BR
Aglomerado do Espectro	Specter Cluster	pt_BR
Aglomerado do Esquadro	Norma Cluster	pt_BR
